time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1718030860743990000,123.94198999023438,-0.9027935862541199,-0.09950069338083267,0.10173562914133072,0.4058487117290497,0.1068640872836113,-0.265338271856308,2.3109118938446045
1718030860753956900,123.95195678710938,-0.9020336866378784,-0.10187863558530807,0.10262587666511536,0.40672340989112854,0.10633251070976257,-0.2705657184123993,2.3088817596435547
1718030860763924000,123.96192407226563,-0.9014645218849182,-0.10367411375045776,0.10254883021116257,0.4075501561164856,0.1044606864452362,-0.27391719818115234,2.3068082332611084
1718030860773890800,123.97189086914062,-0.9010981321334839,-0.10502343624830246,0.10179602354764938,0.4082031846046448,0.10172976553440094,-0.27586543560028076,2.305023670196533
1718030860783857700,123.98185766601563,-0.900856077671051,-0.10617567598819733,0.10075933486223221,0.4086962640285492,0.09867265820503235,-0.277194082736969,2.3035552501678467
1718030860793824500,123.99182446289062,-0.9006351232528687,-0.1073227971792221,0.0998334288597107,0.4091106355190277,0.0958498865365982,-0.2785930335521698,2.302281379699707
1718030860803791600,124.00179150390625,-0.900326669216156,-0.1086215004324913,0.09925588220357895,0.40958699584007263,0.09353373944759369,-0.2805638313293457,2.300915002822876
1718030860813758500,124.01175854492188,-0.8998318314552307,-0.11018519848585129,0.09907661378383636,0.41029947996139526,0.0916658267378807,-0.28337588906288147,2.2990562915802
1718030860823725600,124.0217255859375,-0.8991358876228333,-0.1120612844824791,0.09913285076618195,0.4113023579120636,0.08987756818532944,-0.2869870662689209,2.296536684036255
1718030860833692400,124.0316923828125,-0.8982337117195129,-0.11410880833864212,0.09926620870828629,0.4126761853694916,0.08795531839132309,-0.29101255536079407,2.293152332305908
1718030860843659300,124.0416591796875,-0.8971382975578308,-0.1160871684551239,0.09932678192853928,0.41448864340782166,0.08578988164663315,-0.2948874235153198,2.288745880126953
1718030860853626000,124.05162622070313,-0.8958839774131775,-0.11771727353334427,0.0991140827536583,0.4167864918708801,0.08322148025035858,-0.2979287803173065,2.283205986022949
1718030860863593200,124.06159326171876,-0.8945651650428772,-0.11883943527936935,0.09831663221120834,0.4194808900356293,0.07983598113059998,-0.299563467502594,2.2766926288604736
1718030860873560000,124.07156005859375,-0.8933085203170776,-0.11937247961759567,0.09674687683582306,0.4223625957965851,0.07543817907571793,-0.2994528114795685,2.269662857055664
1718030860883527000,124.08152685546875,-0.8921651840209961,-0.11925525963306427,0.09459678828716278,0.4252891540527344,0.07051189243793488,-0.29762741923332214,2.262510061264038
1718030860893494000,124.09149389648438,-0.8911705017089844,-0.1185411885380745,0.09226752817630768,0.42807692289352417,0.06584323197603226,-0.2945152521133423,2.2557482719421387
1718030860903460900,124.1014609375,-0.8902791738510132,-0.11739322543144226,0.09019258618354797,0.43068212270736694,0.0621211938560009,-0.290795236825943,2.2495479583740234
1718030860913389000,124.11138916015625,-0.8894883394241333,-0.11596879363059998,0.08859732747077942,0.4330267906188965,0.05965045839548111,-0.28695788979530334,2.244105577468872
1718030860923352000,124.12135205078125,-0.888824999332428,-0.11446548998355865,0.08758512884378433,0.43499037623405457,0.05847856029868126,-0.28345760703086853,2.2396767139434814
1718030860933284400,124.13128442382812,-0.8882258534431458,-0.11314231157302856,0.0872255489230156,0.4366295337677002,0.05847219005227089,-0.2808395028114319,2.2360901832580566
1718030860943244300,124.14124438476563,-0.8876634836196899,-0.11200336366891861,0.08746273070573807,0.43801718950271606,0.05949150025844574,-0.27907124161720276,2.233163356781006
1718030860953140700,124.151140625,-0.8871482610702515,-0.11106932908296585,0.08794830739498138,0.4392000734806061,0.06085367873311043,-0.27788639068603516,2.2307143211364746
1718030860963094300,124.16109423828125,-0.8867164254188538,-0.11043614149093628,0.0882868692278862,0.4401628375053406,0.06174424663186073,-0.27710506319999695,2.228684186935425
1718030860973113000,124.17111303710938,-0.8862919807434082,-0.11046810448169708,0.08842436969280243,0.44098129868507385,0.06170657277107239,-0.2773427963256836,2.2268240451812744
1718030860983073300,124.1810732421875,-0.8857653737068176,-0.11137080192565918,0.08853709697723389,0.44178885221481323,0.06083209067583084,-0.2791370451450348,2.224822521209717
1718030860993008000,124.19100805664063,-0.8851481080055237,-0.11311093717813492,0.088851697742939,0.44252023100852966,0.05958380177617073,-0.2826247215270996,2.2228736877441406
1718030861002965800,124.2009658203125,-0.8843702673912048,-0.1155259981751442,0.08965789526700974,0.4432881474494934,0.05860098823904991,-0.28777986764907837,2.2207958698272705
1718030861013019400,124.21101928710938,-0.8834986686706543,-0.11833006888628006,0.09116390347480774,0.443978875875473,0.05856366828083992,-0.2942671775817871,2.2189457416534424
1718030861022986800,124.22098681640625,-0.8824756741523743,-0.12117746472358704,0.09344851225614548,0.4447697401046753,0.05987580865621567,-0.30154773592948914,2.217003345489502
1718030861032953300,124.23095336914062,-0.881409227848053,-0.12383881956338882,0.09626416116952896,0.44555017352104187,0.06233372539281845,-0.30897924304008484,2.21523118019104
1718030861042920400,124.24092041015625,-0.8804087042808533,-0.126143679022789,0.09901191294193268,0.4462789297103882,0.06500779092311859,-0.3157082796096802,2.213639736175537
